fra;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
FR;2020-12-27;467;52;0;467;52;0;0.0;0.0;0.0
FR;2020-12-28;493;38;0;960;90;0;0.0;0.0;0.0
FR;2020-12-29;311;17;0;1271;107;0;0.0;0.0;0.0
FR;2020-12-30;363;15;0;1634;122;0;0.0;0.0;0.0
FR;2020-12-31;290;19;0;1924;141;0;0.0;0.0;0.0
FR;2021-01-01;387;35;0;2311;176;0;0.0;0.0;0.0
FR;2021-01-02;278;29;0;2589;205;0;0.0;0.0;0.0
FR;2021-01-03;298;28;0;2887;233;0;0.0;0.0;0.0
FR;2021-01-04;1837;46;0;4724;279;0;0.0;0.0;0.0
FR;2021-01-05;5784;67;0;10508;346;0;0.0;0.0;0.0
FR;2021-01-06;11680;103;0;22188;449;0;0.0;0.0;0.0
FR;2021-01-07;29168;142;0;51356;591;0;0.1;0.0;0.0
FR;2021-01-08;36823;192;0;88179;783;0;0.2;0.0;0.0
FR;2021-01-09;11132;71;0;99311;854;0;0.2;0.0;0.0
FR;2021-01-10;5800;23;0;105111;877;0;0.2;0.0;0.0
FR;2021-01-11;39702;220;0;144813;1097;0;0.3;0.0;0.0
FR;2021-01-12;61820;307;0;206633;1404;0;0.4;0.0;0.0
FR;2021-01-13;64730;416;0;271363;1820;0;0.5;0.0;0.0
FR;2021-01-14;82420;1190;0;353783;3010;0;0.6;0.0;0.0
FR;2021-01-15;68674;585;0;422457;3595;0;0.7;0.0;0.0
FR;2021-01-16;20077;200;0;442534;3795;0;0.8;0.0;0.0
FR;2021-01-17;10880;130;0;453414;3925;0;0.8;0.0;0.0
FR;2021-01-18;85544;609;0;538958;4534;0;0.9;0.0;0.0
FR;2021-01-19;130298;845;0;669256;5379;0;1.2;0.0;0.0
FR;2021-01-20;137239;877;0;806495;6256;0;1.4;0.0;0.0
FR;2021-01-21;157852;978;0;964347;7234;0;1.7;0.0;0.0
FR;2021-01-22;120623;800;0;1084970;8034;0;1.9;0.0;0.0
FR;2021-01-23;38332;197;0;1123302;8231;0;1.9;0.0;0.0
FR;2021-01-24;9654;88;0;1132956;8319;0;2.0;0.0;0.0
FR;2021-01-25;77895;1530;0;1210851;9849;0;2.1;0.0;0.0
FR;2021-01-26;100101;3576;0;1310952;13425;0;2.3;0.0;0.0
FR;2021-01-27;106997;6305;0;1417949;19730;0;2.5;0.0;0.0
FR;2021-01-28;124038;15081;0;1541987;34811;0;2.7;0.1;0.0
FR;2021-01-29;91905;17707;0;1633892;52518;0;2.8;0.1;0.0
FR;2021-01-30;28997;4281;0;1662889;56799;0;2.9;0.1;0.0
FR;2021-01-31;5153;1693;0;1668042;58492;0;2.9;0.1;0.0
FR;2021-02-01;52477;21195;0;1720519;79687;0;3.0;0.1;0.0
FR;2021-02-02;71986;34800;0;1792505;114487;0;3.1;0.2;0.0
FR;2021-02-03;72009;37164;0;1864514;151651;0;3.2;0.3;0.0
FR;2021-02-04;81657;50302;0;1946171;201953;0;3.4;0.4;0.0
FR;2021-02-05;67970;45382;0;2014141;247335;0;3.5;0.4;0.0
FR;2021-02-06;22570;10513;0;2036711;257848;0;3.5;0.4;0.0
FR;2021-02-07;5087;5113;0;2041798;262961;0;3.5;0.5;0.0
FR;2021-02-08;46518;46013;0;2088316;308974;0;3.6;0.5;0.0
FR;2021-02-09;65698;72926;0;2154014;381900;0;3.7;0.7;0.0
FR;2021-02-10;70466;77277;0;2224480;459177;0;3.9;0.8;0.0
FR;2021-02-11;86834;100102;0;2311314;559279;0;4.0;1.0;0.0
FR;2021-02-12;78823;75229;0;2390137;634508;0;4.1;1.1;0.0
FR;2021-02-13;22151;19601;0;2412288;654109;0;4.2;1.1;0.0
FR;2021-02-14;4905;7235;0;2417193;661344;0;4.2;1.1;0.0
FR;2021-02-15;37694;76557;0;2454887;737901;0;4.3;1.3;0.0
FR;2021-02-16;49980;100880;0;2504867;838781;0;4.3;1.5;0.0
FR;2021-02-17;50108;103177;0;2554975;941958;0;4.4;1.6;0.0
FR;2021-02-18;69263;119168;0;2624238;1061126;0;4.6;1.8;0.0
FR;2021-02-19;64711;91447;0;2688949;1152573;0;4.7;2.0;0.0
FR;2021-02-20;18366;28436;0;2707315;1181009;0;4.7;2.0;0.0
FR;2021-02-21;3161;6406;0;2710476;1187415;0;4.7;2.1;0.0
FR;2021-02-22;37186;73226;0;2747662;1260641;0;4.8;2.2;0.0
FR;2021-02-23;53426;84666;0;2801088;1345307;0;4.9;2.3;0.0
FR;2021-02-24;59473;81864;0;2860561;1427171;0;5.0;2.5;0.0
FR;2021-02-25;100107;93335;0;2960668;1520506;0;5.1;2.6;0.0
FR;2021-02-26;112958;73396;0;3073626;1593902;0;5.3;2.8;0.0
FR;2021-02-27;51844;23011;0;3125470;1616913;0;5.4;2.8;0.0
FR;2021-02-28;6040;4571;0;3131510;1621484;0;5.4;2.8;0.0
FR;2021-03-01;65020;54089;0;3196530;1675573;0;5.5;2.9;0.0
FR;2021-03-02;100796;68668;0;3297326;1744241;0;5.7;3.0;0.0
FR;2021-03-03;115665;68413;0;3412991;1812654;0;5.9;3.1;0.0
FR;2021-03-04;162835;73674;0;3575826;1886328;0;6.2;3.3;0.0
FR;2021-03-05;200063;69492;0;3775889;1955820;0;6.5;3.4;0.0
FR;2021-03-06;207389;22983;0;3983278;1978803;0;6.9;3.4;0.0
FR;2021-03-07;120895;8696;0;4104173;1987499;0;7.1;3.4;0.0
FR;2021-03-08;106514;53793;0;4210687;2041292;0;7.3;3.5;0.0
FR;2021-03-09;171730;61652;0;4382417;2102944;0;7.6;3.6;0.0
FR;2021-03-10;177948;62291;0;4560365;2165235;0;7.9;3.8;0.0
FR;2021-03-11;241910;70636;0;4802275;2235871;0;8.3;3.9;0.0
FR;2021-03-12;293881;62496;0;5096156;2298367;0;8.8;4.0;0.0
FR;2021-03-13;230643;21131;0;5326799;2319498;0;9.2;4.0;0.0
FR;2021-03-14;62979;5449;0;5389778;2324947;0;9.3;4.0;0.0
FR;2021-03-15;157804;36980;0;5547582;2361927;0;9.6;4.1;0.0
FR;2021-03-16;140931;43260;0;5688513;2405187;0;9.9;4.2;0.0
FR;2021-03-17;149764;43118;0;5838277;2448305;0;10.1;4.2;0.0
FR;2021-03-18;167056;49658;0;6005333;2497963;0;10.4;4.3;0.0
FR;2021-03-19;229251;44423;0;6234584;2542386;0;10.8;4.4;0.0
FR;2021-03-20;166108;16296;0;6400692;2558682;0;11.1;4.4;0.0
FR;2021-03-21;49535;4342;0;6450227;2563024;0;11.2;4.4;0.0
FR;2021-03-22;169191;39464;0;6619418;2602488;0;11.5;4.5;0.0
